
[0/30][0/1583]	Loss_D: 1.4293	Loss_G: 2.8083	D(x): 0.5445	D(G(z)): 0.5491 / 0.0628
[13/30][0/1583]	Loss_D: 0.2284	Loss_G: 4.1119	D(x): 0.8918	D(G(z)): 0.0798 / 0.0293
[13/30][500/1583]	Loss_D: 0.0847	Loss_G: 4.5208	D(x): 0.9834	D(G(z)): 0.0561 / 0.0182
[13/30][1000/1583]	Loss_D: 0.1615	Loss_G: 4.8877	D(x): 0.9454	D(G(z)): 0.0799 / 0.0137
[13/30][1500/1583]	Loss_D: 0.1493	Loss_G: 3.4226	D(x): 0.8978	D(G(z)): 0.0175 / 0.0639
[14/30][0/1583]	Loss_D: 0.1661	Loss_G: 3.5283	D(x): 0.8855	D(G(z)): 0.0212 / 0.0607
[14/30][500/1583]	Loss_D: 0.2237	Loss_G: 3.6801	D(x): 0.8880	D(G(z)): 0.0617 / 0.0452
[14/30][1000/1583]	Loss_D: 0.0567	Loss_G: 5.1293	D(x): 0.9912	D(G(z)): 0.0431 / 0.0105
[14/30][1500/1583]	Loss_D: 0.1546	Loss_G: 5.6001	D(x): 0.9842	D(G(z)): 0.1169 / 0.0059
[15/30][0/1583]	Loss_D: 0.2489	Loss_G: 3.1789	D(x): 0.8110	D(G(z)): 0.0051 / 0.0872
[15/30][500/1583]	Loss_D: 0.1642	Loss_G: 4.3970	D(x): 0.9213	D(G(z)): 0.0642 / 0.0234
[15/30][1000/1583]	Loss_D: 0.2857	Loss_G: 4.0882	D(x): 0.7936	D(G(z)): 0.0088 / 0.0472
[15/30][1500/1583]	Loss_D: 0.4816	Loss_G: 1.2825	D(x): 0.6932	D(G(z)): 0.0227 / 0.3872
[16/30][0/1583]	Loss_D: 0.2068	Loss_G: 5.2537	D(x): 0.9497	D(G(z)): 0.1183 / 0.0090
[16/30][500/1583]	Loss_D: 0.1008	Loss_G: 4.5422	D(x): 0.9444	D(G(z)): 0.0380 / 0.0219
[16/30][1000/1583]	Loss_D: 0.0614	Loss_G: 5.1757	D(x): 0.9739	D(G(z)): 0.0302 / 0.0116
[16/30][1500/1583]	Loss_D: 0.2251	Loss_G: 4.6528	D(x): 0.9473	D(G(z)): 0.1215 / 0.0207
[17/30][0/1583]	Loss_D: 0.1920	Loss_G: 4.8379	D(x): 0.9447	D(G(z)): 0.0981 / 0.0168
[17/30][500/1583]	Loss_D: 0.1722	Loss_G: 3.6967	D(x): 0.8992	D(G(z)): 0.0372 / 0.0490
[17/30][1000/1583]	Loss_D: 0.3551	Loss_G: 2.4706	D(x): 0.7743	D(G(z)): 0.0203 / 0.1688
[17/30][1500/1583]	Loss_D: 0.1915	Loss_G: 2.7587	D(x): 0.8522	D(G(z)): 0.0037 / 0.1128
[18/30][0/1583]	Loss_D: 0.0704	Loss_G: 4.9173	D(x): 0.9528	D(G(z)): 0.0182 / 0.0179
[18/30][500/1583]	Loss_D: 1.0169	Loss_G: 8.5388	D(x): 0.9990	D(G(z)): 0.5220 / 0.0009
[18/30][1000/1583]	Loss_D: 0.0948	Loss_G: 4.9136	D(x): 0.9456	D(G(z)): 0.0309 / 0.0164
[18/30][1500/1583]	Loss_D: 0.3745	Loss_G: 2.5048	D(x): 0.7926	D(G(z)): 0.0804 / 0.1322
[19/30][0/1583]	Loss_D: 0.1084	Loss_G: 3.9283	D(x): 0.9186	D(G(z)): 0.0113 / 0.0368
[19/30][500/1583]	Loss_D: 0.0713	Loss_G: 4.5961	D(x): 0.9557	D(G(z)): 0.0221 / 0.0187
[19/30][1000/1583]	Loss_D: 0.4539	Loss_G: 2.8830	D(x): 0.9143	D(G(z)): 0.2404 / 0.1178
[19/30][1500/1583]	Loss_D: 0.0340	Loss_G: 5.3721	D(x): 0.9782	D(G(z)): 0.0110 / 0.0127
[20/30][0/1583]	Loss_D: 0.3263	Loss_G: 4.1591	D(x): 0.9782	D(G(z)): 0.2174 / 0.0321
[20/30][500/1583]	Loss_D: 0.0440	Loss_G: 5.0178	D(x): 0.9760	D(G(z)): 0.0185 / 0.0130
[20/30][1000/1583]	Loss_D: 0.5033	Loss_G: 3.0076	D(x): 0.7348	D(G(z)): 0.0498 / 0.1273
[20/30][1500/1583]	Loss_D: 0.1615	Loss_G: 3.3764	D(x): 0.8704	D(G(z)): 0.0059 / 0.0696
[21/30][0/1583]	Loss_D: 0.0690	Loss_G: 4.7865	D(x): 0.9701	D(G(z)): 0.0356 / 0.0169
[21/30][500/1583]	Loss_D: 0.0747	Loss_G: 5.3966	D(x): 0.9749	D(G(z)): 0.0431 / 0.0096
[21/30][1000/1583]	Loss_D: 0.1444	Loss_G: 3.7448	D(x): 0.9090	D(G(z)): 0.0228 / 0.0514
[21/30][1500/1583]	Loss_D: 0.1083	Loss_G: 3.9531	D(x): 0.9664	D(G(z)): 0.0599 / 0.0440
[22/30][0/1583]	Loss_D: 0.0565	Loss_G: 5.2052	D(x): 0.9667	D(G(z)): 0.0193 / 0.0133
[22/30][500/1583]	Loss_D: 0.0818	Loss_G: 6.3223	D(x): 0.9869	D(G(z)): 0.0581 / 0.0040
[22/30][1000/1583]	Loss_D: 0.0486	Loss_G: 4.7496	D(x): 0.9733	D(G(z)): 0.0195 / 0.0204
[22/30][1500/1583]	Loss_D: 0.0746	Loss_G: 5.6675	D(x): 0.9952	D(G(z)): 0.0622 / 0.0063
[23/30][0/1583]	Loss_D: 0.7055	Loss_G: 2.7100	D(x): 0.8892	D(G(z)): 0.3571 / 0.1129
[23/30][500/1583]	Loss_D: 0.0398	Loss_G: 5.2217	D(x): 0.9735	D(G(z)): 0.0119 / 0.0121
[23/30][1000/1583]	Loss_D: 0.1847	Loss_G: 4.1306	D(x): 0.9139	D(G(z)): 0.0734 / 0.0384
[23/30][1500/1583]	Loss_D: 0.3129	Loss_G: 5.1632	D(x): 0.9800	D(G(z)): 0.2211 / 0.0118
[24/30][0/1583]	Loss_D: 0.1022	Loss_G: 6.6123	D(x): 0.9898	D(G(z)): 0.0814 / 0.0025
[24/30][500/1583]	Loss_D: 0.1006	Loss_G: 4.1779	D(x): 0.9191	D(G(z)): 0.0071 / 0.0399
[24/30][1000/1583]	Loss_D: 0.0420	Loss_G: 5.1692	D(x): 0.9666	D(G(z)): 0.0057 / 0.0147
[24/30][1500/1583]	Loss_D: 0.0793	Loss_G: 4.4459	D(x): 0.9682	D(G(z)): 0.0426 / 0.0217
[25/30][0/1583]	Loss_D: 6.5382	Loss_G: 1.5456	D(x): 0.0105	D(G(z)): 0.0000 / 0.3338
[25/30][500/1583]	Loss_D: 0.0503	Loss_G: 5.3611	D(x): 0.9701	D(G(z)): 0.0173 / 0.0126
[25/30][1000/1583]	Loss_D: 0.2866	Loss_G: 3.9452	D(x): 0.8971	D(G(z)): 0.1355 / 0.0363
[25/30][1500/1583]	Loss_D: 0.0653	Loss_G: 5.7049	D(x): 0.9942	D(G(z)): 0.0509 / 0.0065
[26/30][0/1583]	Loss_D: 0.1184	Loss_G: 3.4303	D(x): 0.9224	D(G(z)): 0.0206 / 0.0672
[26/30][500/1583]	Loss_D: 0.0746	Loss_G: 6.2007	D(x): 0.9956	D(G(z)): 0.0619 / 0.0041
[26/30][1000/1583]	Loss_D: 0.0320	Loss_G: 5.8784	D(x): 0.9784	D(G(z)): 0.0090 / 0.0073
[26/30][1500/1583]	Loss_D: 5.2057	Loss_G: 0.2846	D(x): 0.0215	D(G(z)): 0.0000 / 0.8140
[27/30][0/1583]	Loss_D: 0.0479	Loss_G: 6.2187	D(x): 0.9953	D(G(z)): 0.0402 / 0.0039
[27/30][500/1583]	Loss_D: 0.1154	Loss_G: 4.5400	D(x): 0.9206	D(G(z)): 0.0180 / 0.0261
[27/30][1000/1583]	Loss_D: 0.1043	Loss_G: 4.5573	D(x): 0.9194	D(G(z)): 0.0089 / 0.0313
[27/30][1500/1583]	Loss_D: 0.2505	Loss_G: 4.6047	D(x): 0.9630	D(G(z)): 0.1695 / 0.0203
[28/30][0/1583]	Loss_D: 0.0279	Loss_G: 6.1079	D(x): 0.9895	D(G(z)): 0.0167 / 0.0060
[28/30][500/1583]	Loss_D: 0.1080	Loss_G: 6.0707	D(x): 0.9647	D(G(z)): 0.0607 / 0.0061
[28/30][1000/1583]	Loss_D: 0.0913	Loss_G: 5.8161	D(x): 0.9269	D(G(z)): 0.0038 / 0.0077
[28/30][1500/1583]	Loss_D: 0.0344	Loss_G: 6.4515	D(x): 0.9786	D(G(z)): 0.0120 / 0.0051
[29/30][0/1583]	Loss_D: 0.0419	Loss_G: 5.6691	D(x): 0.9942	D(G(z)): 0.0339 / 0.0081
[29/30][500/1583]	Loss_D: 0.2152	Loss_G: 2.6893	D(x): 0.8700	D(G(z)): 0.0283 / 0.1681
[29/30][1000/1583]	Loss_D: 0.0498	Loss_G: 5.7655	D(x): 0.9717	D(G(z)): 0.0145 / 0.0080
[29/30][1500/1583]	Loss_D: 0.0602	Loss_G: 5.2393	D(x): 0.9621	D(G(z)): 0.0174 / 0.0120
/home/jungwoo/anaconda3/envs/torch/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /opt/conda/conda-bld/pytorch_1623448278899/work/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
FID score: 50.08363762505911
